date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
3/23/2023,Denmark,Finland,3,1,UEFA Euro qualification,Copenhagen,Denmark,FALSE
3/23/2023,Kazakhstan,Slovenia,1,2,UEFA Euro qualification,Astana,Kazakhstan,FALSE
3/23/2023,Portugal,Liechtenstein,4,0,UEFA Euro qualification,Lisbon,Portugal,FALSE
3/23/2023,Bosnia and Herzegovina,Iceland,3,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
3/23/2023,Slovakia,Luxembourg,0,0,UEFA Euro qualification,Trnava,Slovakia,FALSE
3/24/2023,Gibraltar,Greece,0,3,UEFA Euro qualification,Faro-Loulé,Portugal,TRUE
3/24/2023,France,Netherlands,4,0,UEFA Euro qualification,Paris,France,FALSE
3/24/2023,Austria,Azerbaijan,4,1,UEFA Euro qualification,Pasching,Austria,FALSE
3/24/2023,Serbia,Lithuania,2,0,UEFA Euro qualification,Belgrade,Serbia,FALSE
3/25/2023,Georgia,Mongolia,6,1,Friendly,Batumi,Georgia,FALSE
3/25/2023,Germany,Peru,2,0,Friendly,Mainz,Germany,FALSE
3/25/2023,Scotland,Cyprus,3,0,UEFA Euro qualification,Glasgow,Scotland,FALSE
3/25/2023,Spain,Norway,3,0,UEFA Euro qualification,Malaga,Spain,FALSE
3/25/2023,Croatia,Wales,1,1,UEFA Euro qualification,Split,Croatia,FALSE
3/25/2023,Armenia,Turkey,1,2,UEFA Euro qualification,Yerevan,Armenia,FALSE
3/25/2023,Belarus,Switzerland,0,5,UEFA Euro qualification,Novi Sad,Serbia,TRUE
3/25/2023,Israel,Kosovo,1,1,UEFA Euro qualification,Tel Aviv,Israel,FALSE
3/25/2023,Andorra,Romania,0,2,UEFA Euro qualification,Andorra la Vella,Andorra,FALSE
3/26/2023,England,Ukraine,2,0,UEFA Euro qualification,London,England,FALSE
3/26/2023,Malta,Italy,0,2,UEFA Euro qualification,Ta' Qali,Malta,FALSE
3/26/2023,Kazakhstan,Denmark,3,2,UEFA Euro qualification,Astana,Kazakhstan,FALSE
3/26/2023,Liechtenstein,Iceland,0,7,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
3/26/2023,Luxembourg,Portugal,0,6,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
3/26/2023,Slovakia,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Bratislava,Slovakia,FALSE
3/27/2023,Greece,Lithuania,0,0,Friendly,Athens,Greece,FALSE
3/27/2023,Republic of Ireland,France,0,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE
3/27/2023,Netherlands,Gibraltar,3,0,UEFA Euro qualification,Rotterdam,Netherlands,FALSE
3/27/2023,Austria,Estonia,2,1,UEFA Euro qualification,Pasching,Austria,FALSE
3/27/2023,Hungary,Bulgaria,3,0,UEFA Euro qualification,Budapest,Hungary,FALSE
3/27/2023,Montenegro,Serbia,0,2,UEFA Euro qualification,Podgorica,Montenegro,FALSE
3/28/2023,Germany,Belgium,2,3,Friendly,Cologne,Germany,FALSE
3/28/2023,Scotland,Spain,2,0,UEFA Euro qualification,Glasgow,Scotland,FALSE
3/28/2023,Georgia,Norway,1,1,UEFA Euro qualification,Batumi,Georgia,FALSE
3/28/2023,Wales,Latvia,1,0,UEFA Euro qualification,Cardiff,Wales,FALSE
3/28/2023,Turkey,Croatia,0,2,UEFA Euro qualification,Bursa,Turkey,FALSE
3/28/2023,Switzerland,Israel,3,0,UEFA Euro qualification,Geneva,Switzerland,FALSE
3/28/2023,Romania,Belarus,2,1,UEFA Euro qualification,Bucharest,Romania,FALSE
6/9/2023,Luxembourg,Malta,0,1,Friendly,Luxembourg,Luxembourg,FALSE
6/12/2023,Germany,Ukraine,3,3,Friendly,Bremen,Germany,FALSE
6/14/2023,Netherlands,Croatia,2,4,UEFA Nations League,Rotterdam,Netherlands,FALSE
6/15/2023,Spain,Italy,2,1,UEFA Nations League,Enschede,Netherlands,TRUE
6/16/2023,Poland,Germany,1,0,Friendly,Warsaw,Poland,FALSE
6/16/2023,Serbia,Jordan,3,2,Friendly,Vienna,Austria,TRUE
6/16/2023,Gibraltar,France,0,3,UEFA Euro qualification,Faro-Loulé,Portugal,TRUE
6/16/2023,Greece,Republic of Ireland,2,1,UEFA Euro qualification,Athens,Greece,FALSE
6/16/2023,Malta,England,0,4,UEFA Euro qualification,Ta' Qali,Malta,FALSE
6/16/2023,North Macedonia,Ukraine,2,3,UEFA Euro qualification,Skopje,North Macedonia,FALSE
6/16/2023,Wales,Armenia,2,4,UEFA Euro qualification,Cardiff,Wales,FALSE
6/16/2023,Latvia,Turkey,2,3,UEFA Euro qualification,Riga,Latvia,FALSE
6/16/2023,Denmark,Northern Ireland,1,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE
6/16/2023,San Marino,Kazakhstan,0,3,UEFA Euro qualification,Parma,Italy,TRUE
6/16/2023,Andorra,Switzerland,1,2,UEFA Euro qualification,Andorra la Vella,Andorra,FALSE
6/16/2023,Belarus,Israel,1,2,UEFA Euro qualification,Budapest,Hungary,TRUE
6/16/2023,Kosovo,Romania,0,0,UEFA Euro qualification,Pristina,Kosovo,FALSE
6/17/2023,Norway,Scotland,1,2,UEFA Euro qualification,Oslo,Norway,FALSE
6/17/2023,Cyprus,Georgia,1,2,UEFA Euro qualification,Larnaca,Cyprus,FALSE
6/17/2023,Azerbaijan,Estonia,1,1,UEFA Euro qualification,Baku,Azerbaijan,FALSE
6/17/2023,Belgium,Austria,1,1,UEFA Euro qualification,Brussels,Belgium,FALSE
6/17/2023,Montenegro,Hungary,0,0,UEFA Euro qualification,Podgorica,Montenegro,FALSE
6/17/2023,Luxembourg,Liechtenstein,2,0,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
6/17/2023,Iceland,Slovakia,1,2,UEFA Euro qualification,Reykjavík,Iceland,FALSE
6/17/2023,Portugal,Bosnia and Herzegovina,3,0,UEFA Euro qualification,Lisbon,Portugal,FALSE
6/18/2023,Netherlands,Italy,2,3,UEFA Nations League,Enschede,Netherlands,FALSE
6/18/2023,Croatia,Spain,0,0,UEFA Nations League,Rotterdam,Netherlands,TRUE
6/19/2023,France,Greece,1,0,UEFA Euro qualification,Paris,France,FALSE
6/19/2023,Ukraine,Malta,1,0,UEFA Euro qualification,Trnava,Slovakia,TRUE
6/19/2023,England,North Macedonia,7,0,UEFA Euro qualification,Manchester,England,FALSE
6/19/2023,Turkey,Wales,2,0,UEFA Euro qualification,Samsun,Turkey,FALSE
6/19/2023,Northern Ireland,Kazakhstan,0,1,UEFA Euro qualification,Belfast,Northern Ireland,FALSE
6/19/2023,Slovenia,Denmark,1,1,UEFA Euro qualification,Ljubljana,Slovenia,FALSE
6/19/2023,Switzerland,Romania,2,2,UEFA Euro qualification,Lucerne,Switzerland,FALSE
6/19/2023,Israel,Andorra,2,1,UEFA Euro qualification,Jerusalem,Israel,FALSE
6/20/2023,Germany,Colombia,0,2,Friendly,Gelsenkirchen,Germany,FALSE
6/20/2023,Scotland,Georgia,2,0,UEFA Euro qualification,Glasgow,Scotland,FALSE
6/20/2023,Austria,Sweden,2,0,UEFA Euro qualification,Vienna,Austria,FALSE
6/20/2023,Estonia,Belgium,0,3,UEFA Euro qualification,Tallinn,Estonia,FALSE
6/20/2023,Hungary,Lithuania,2,0,UEFA Euro qualification,Budapest,Hungary,FALSE
6/20/2023,Bulgaria,Serbia,1,1,UEFA Euro qualification,Razgrad,Bulgaria,FALSE
6/20/2023,Iceland,Portugal,0,1,UEFA Euro qualification,Reykjavík,Iceland,FALSE
6/20/2023,Bosnia and Herzegovina,Luxembourg,0,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
9/7/2023,Austria,Moldova,1,1,Friendly,Pasching,Austria,FALSE
9/7/2023,Wales,South Korea,0,0,Friendly,Cardiff,Wales,FALSE
9/7/2023,France,Republic of Ireland,2,0,UEFA Euro qualification,Paris,France,FALSE
9/7/2023,Netherlands,Greece,3,0,UEFA Euro qualification,Eindhoven,Netherlands,FALSE
9/7/2023,Serbia,Hungary,1,2,UEFA Euro qualification,Belgrade,Serbia,FALSE
9/7/2023,Kazakhstan,Finland,0,1,UEFA Euro qualification,Astana,Kazakhstan,FALSE
9/7/2023,Denmark,San Marino,4,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE
9/8/2023,Georgia,Spain,1,7,UEFA Euro qualification,Tbilisi,Georgia,FALSE
9/8/2023,Cyprus,Scotland,0,3,UEFA Euro qualification,Larnaca,Cyprus,FALSE
9/8/2023,Croatia,Latvia,5,0,UEFA Euro qualification,Rijeka,Croatia,FALSE
9/8/2023,Turkey,Armenia,1,1,UEFA Euro qualification,Eskişehir,Turkey,FALSE
9/8/2023,Bosnia and Herzegovina,Liechtenstein,2,1,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
9/8/2023,Luxembourg,Iceland,3,1,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
9/8/2023,Slovakia,Portugal,0,1,UEFA Euro qualification,Bratislava,Slovakia,FALSE
9/9/2023,Germany,Japan,1,4,Friendly,Wolfsburg,Germany,FALSE
9/9/2023,Ukraine,England,1,1,UEFA Euro qualification,Wrocław,Poland,TRUE
9/9/2023,North Macedonia,Italy,1,1,UEFA Euro qualification,Skopje,North Macedonia,FALSE
9/9/2023,Estonia,Sweden,0,5,UEFA Euro qualification,Tallinn,Estonia,FALSE
9/9/2023,Kosovo,Switzerland,2,2,UEFA Euro qualification,Pristina,Kosovo,FALSE
9/9/2023,Romania,Israel,1,1,UEFA Euro qualification,Bucharest,Romania,FALSE
9/10/2023,Hungary,Czech Republic,1,1,Friendly,Budapest,Hungary,FALSE
9/10/2023,Republic of Ireland,Netherlands,1,2,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE
9/10/2023,Greece,Gibraltar,5,0,UEFA Euro qualification,Athens,Greece,FALSE
9/10/2023,Lithuania,Serbia,1,3,UEFA Euro qualification,Kaunas,Lithuania,FALSE
9/10/2023,Finland,Denmark,0,1,UEFA Euro qualification,Helsinki,Finland,FALSE
9/10/2023,Kazakhstan,Northern Ireland,1,0,UEFA Euro qualification,Astana,Kazakhstan,FALSE
9/11/2023,Armenia,Croatia,0,1,UEFA Euro qualification,Yerevan,Armenia,FALSE
9/11/2023,Latvia,Wales,0,2,UEFA Euro qualification,Riga,Latvia,FALSE
9/11/2023,Iceland,Bosnia and Herzegovina,1,0,UEFA Euro qualification,Reykjavík,Iceland,FALSE
9/11/2023,Portugal,Luxembourg,9,0,UEFA Euro qualification,São João da Venda,Portugal,FALSE
9/12/2023,Germany,France,2,1,Friendly,Dortmund,Germany,FALSE
9/12/2023,Japan,Turkey,4,2,Friendly,Genk,Belgium,TRUE
9/12/2023,Scotland,England,1,3,Friendly,Glasgow,Scotland,FALSE
9/12/2023,Norway,Georgia,2,1,UEFA Euro qualification,Oslo,Norway,FALSE
9/12/2023,Spain,Cyprus,6,0,UEFA Euro qualification,Granada,Spain,FALSE
9/12/2023,Italy,Ukraine,2,1,UEFA Euro qualification,Milan,Italy,FALSE
9/12/2023,Belgium,Estonia,5,0,UEFA Euro qualification,Brussels,Belgium,FALSE
9/12/2023,Sweden,Austria,1,3,UEFA Euro qualification,Stockholm,Sweden,FALSE
9/12/2023,Switzerland,Andorra,3,0,UEFA Euro qualification,Sion,Switzerland,FALSE
9/12/2023,Israel,Belarus,1,0,UEFA Euro qualification,Tel Aviv,Israel,FALSE
9/12/2023,Romania,Kosovo,2,0,UEFA Euro qualification,Bucharest,Romania,FALSE
10/11/2023,Wales,Gibraltar,4,0,Friendly,Wrexham,Wales,FALSE
10/12/2023,Georgia,Thailand,8,0,Friendly,Tbilisi,Georgia,FALSE
10/12/2023,Spain,Scotland,2,0,UEFA Euro qualification,Seville,Spain,FALSE
10/12/2023,Croatia,Turkey,0,1,UEFA Euro qualification,Osijek,Croatia,FALSE
10/12/2023,Belarus,Romania,0,0,UEFA Euro qualification,Budapest,Hungary,TRUE
10/13/2023,England,Australia,1,0,Friendly,London,England,FALSE
10/13/2023,Republic of Ireland,Greece,0,2,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE
10/13/2023,Netherlands,France,1,2,UEFA Euro qualification,Amsterdam,Netherlands,FALSE
10/13/2023,Estonia,Azerbaijan,0,2,UEFA Euro qualification,Tallinn,Estonia,FALSE
10/13/2023,Austria,Belgium,2,3,UEFA Euro qualification,Vienna,Austria,FALSE
10/13/2023,Iceland,Luxembourg,1,1,UEFA Euro qualification,Reykjavík,Iceland,FALSE
10/13/2023,Portugal,Slovakia,3,2,UEFA Euro qualification,Porto,Portugal,FALSE
10/13/2023,Liechtenstein,Bosnia and Herzegovina,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
10/14/2023,United States,Germany,1,3,Friendly,East Hartford,United States,FALSE
10/14/2023,Ukraine,North Macedonia,2,0,UEFA Euro qualification,Prague,Czech Republic,TRUE
10/14/2023,Italy,Malta,4,0,UEFA Euro qualification,Bari,Italy,FALSE
10/14/2023,Hungary,Serbia,2,1,UEFA Euro qualification,Budapest,Hungary,FALSE
10/14/2023,Denmark,Kazakhstan,3,1,UEFA Euro qualification,Copenhagen,Denmark,FALSE
10/15/2023,Georgia,Cyprus,4,0,UEFA Euro qualification,Tbilisi,Georgia,FALSE
10/15/2023,Norway,Spain,0,1,UEFA Euro qualification,Oslo,Norway,FALSE
10/15/2023,Wales,Croatia,2,1,UEFA Euro qualification,Cardiff,Wales,FALSE
10/15/2023,Turkey,Latvia,4,0,UEFA Euro qualification,Konya,Turkey,FALSE
10/15/2023,Switzerland,Belarus,3,3,UEFA Euro qualification,Saint Gallen,Switzerland,FALSE
10/15/2023,Romania,Andorra,4,0,UEFA Euro qualification,Bucharest,Romania,FALSE
10/16/2023,Greece,Netherlands,0,1,UEFA Euro qualification,Athens,Greece,FALSE
10/16/2023,Azerbaijan,Austria,0,1,UEFA Euro qualification,Baku,Azerbaijan,FALSE
10/16/2023,Iceland,Liechtenstein,4,0,UEFA Euro qualification,Reykjavík,Iceland,FALSE
10/16/2023,Bosnia and Herzegovina,Portugal,0,5,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
10/16/2023,Luxembourg,Slovakia,0,1,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
10/17/2023,Estonia,Thailand,1,1,Friendly,Tallinn,Estonia,FALSE
10/17/2023,France,Scotland,4,1,Friendly,Lille,France,FALSE
10/17/2023,Mexico,Germany,2,2,Friendly,Philadelphia,United States,TRUE
10/17/2023,England,Italy,3,1,UEFA Euro qualification,London,England,FALSE
10/17/2023,Malta,Ukraine,1,3,UEFA Euro qualification,Ta' Qali,Malta,FALSE
10/17/2023,Serbia,Montenegro,3,1,UEFA Euro qualification,Belgrade,Serbia,FALSE
10/17/2023,Lithuania,Hungary,2,2,UEFA Euro qualification,Kaunas,Lithuania,FALSE
10/17/2023,Finland,Kazakhstan,1,2,UEFA Euro qualification,Helsinki,Finland,FALSE
10/17/2023,San Marino,Denmark,1,2,UEFA Euro qualification,Serravalle,San Marino,FALSE
11/12/2023,Kosovo,Israel,1,0,UEFA Euro qualification,Pristina,Kosovo,FALSE
11/15/2023,Belgium,Serbia,1,0,Friendly,Leuven,Belgium,FALSE
11/15/2023,Israel,Switzerland,1,1,UEFA Euro qualification,Felcsút,Hungary,TRUE
11/16/2023,Cyprus,Spain,1,3,UEFA Euro qualification,Limassol,Cyprus,FALSE
11/16/2023,Georgia,Scotland,2,2,UEFA Euro qualification,Tbilisi,Georgia,FALSE
11/16/2023,Estonia,Austria,0,2,UEFA Euro qualification,Tallinn,Estonia,FALSE
11/16/2023,Bulgaria,Hungary,2,2,UEFA Euro qualification,Sofia,Bulgaria,FALSE
11/16/2023,Liechtenstein,Portugal,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
11/16/2023,Luxembourg,Bosnia and Herzegovina,4,1,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
11/16/2023,Slovakia,Iceland,4,2,UEFA Euro qualification,Bratislava,Slovakia,FALSE
11/17/2023,Greece,New Zealand,2,0,Friendly,Athens,Greece,FALSE
11/17/2023,England,Malta,2,0,UEFA Euro qualification,London,England,FALSE
11/17/2023,Italy,North Macedonia,5,2,UEFA Euro qualification,Rome,Italy,FALSE
11/17/2023,Denmark,Slovenia,2,1,UEFA Euro qualification,Copenhagen,Denmark,FALSE
11/17/2023,Kazakhstan,San Marino,3,1,UEFA Euro qualification,Astana,Kazakhstan,FALSE
11/18/2023,Germany,Turkey,2,3,Friendly,Berlin,Germany,FALSE
11/18/2023,France,Gibraltar,14,0,UEFA Euro qualification,Nice,France,FALSE
11/18/2023,Netherlands,Republic of Ireland,1,0,UEFA Euro qualification,Amsterdam,Netherlands,FALSE
11/18/2023,Armenia,Wales,1,1,UEFA Euro qualification,Yerevan,Armenia,FALSE
11/18/2023,Latvia,Croatia,0,2,UEFA Euro qualification,Riga,Latvia,FALSE
11/18/2023,Switzerland,Kosovo,1,1,UEFA Euro qualification,Basel,Switzerland,FALSE
11/18/2023,Israel,Romania,1,2,UEFA Euro qualification,Felcsút,Hungary,TRUE
11/19/2023,Scotland,Norway,3,3,UEFA Euro qualification,Glasgow,Scotland,FALSE
11/19/2023,Spain,Georgia,3,1,UEFA Euro qualification,Valladolid,Spain,FALSE
11/19/2023,Sweden,Estonia,2,0,UEFA Euro qualification,Stockholm,Sweden,FALSE
11/19/2023,Hungary,Montenegro,3,1,UEFA Euro qualification,Budapest,Hungary,FALSE
11/19/2023,Serbia,Bulgaria,2,2,UEFA Euro qualification,Leskovac,Serbia,FALSE
11/19/2023,Portugal,Iceland,2,0,UEFA Euro qualification,Lisbon,Portugal,FALSE
11/19/2023,Bosnia and Herzegovina,Slovakia,1,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
11/19/2023,Liechtenstein,Luxembourg,0,1,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
11/20/2023,North Macedonia,England,1,1,UEFA Euro qualification,Skopje,North Macedonia,FALSE
11/20/2023,Ukraine,Italy,0,0,UEFA Euro qualification,Leverkusen,Germany,TRUE
11/20/2023,Northern Ireland,Denmark,2,0,UEFA Euro qualification,Belfast,Northern Ireland,FALSE
11/20/2023,Slovenia,Kazakhstan,2,1,UEFA Euro qualification,Ljubljana,Slovenia,FALSE
11/21/2023,Austria,Germany,2,0,Friendly,Vienna,Austria,FALSE
11/21/2023,Gibraltar,Netherlands,0,6,UEFA Euro qualification,Faro-Loulé,Portugal,TRUE
11/21/2023,Greece,France,2,2,UEFA Euro qualification,Athens,Greece,FALSE
11/21/2023,Wales,Turkey,1,1,UEFA Euro qualification,Cardiff,Wales,FALSE
11/21/2023,Croatia,Armenia,1,0,UEFA Euro qualification,Zagreb,Croatia,FALSE
11/21/2023,Andorra,Israel,0,2,UEFA Euro qualification,Andorra la Vella,Andorra,FALSE
11/21/2023,Romania,Switzerland,1,0,UEFA Euro qualification,Bucharest,Romania,FALSE
1/12/2024,Sweden,Estonia,2,1,Friendly,Paphos,Cyprus,TRUE
1/13/2024,Guatemala,Iceland,0,1,Friendly,Fort Lauderdale,United States,TRUE
1/17/2024,Honduras,Iceland,0,2,Friendly,Fort Lauderdale,United States,TRUE
